seller_owner_match,duplicate_transaction,recent_ownership_change,record_inconsistency,ownership_changes,previous_transactions,transaction_frequency_30d,days_since_previous_transaction,transaction_value_log,risk_score,risk_level
1,1,0,0,0,3,1,233,18.86217148597428,30.52,MEDIUM
1,0,0,0,1,4,0,982,16.350489224585775,2.62,LOW
1,0,0,0,0,0,0,1383,16.51067453103874,2.66,LOW
1,0,0,0,0,2,4,1497,15.491932806149386,7.7,LOW
1,0,0,0,1,2,1,350,15.364563676780357,3.1,LOW
1,0,0,0,0,5,1,1092,17.12811419128947,12.12,LOW
1,0,0,0,2,1,0,1312,14.156574050151264,8.47,LOW
1,0,0,0,1,3,3,1251,14.742849079930595,13.27,LOW
1,0,0,0,1,3,0,755,15.72796064383169,12.9,LOW
1,0,0,0,0,1,0,261,17.486152036197744,8.0,LOW
1,1,0,0,0,1,0,693,15.588031329733578,29.67,LOW
1,0,1,0,0,2,1,1164,16.457766713001615,16.21,LOW
1,0,0,1,1,3,1,929,16.0305015473269,18.14,LOW
1,0,0,0,0,2,2,582,17.42588425423049,5.52,LOW
1,1,0,0,1,0,0,322,14.256804679965786,34.93,MEDIUM
1,0,0,0,1,1,0,978,16.809559524095054,5.91,LOW
1,0,0,0,0,4,0,642,15.781211177283144,0.0,LOW
1,0,1,0,0,2,1,708,17.01737261331135,22.29,LOW
1,1,0,0,2,1,0,1408,15.098789683289652,38.16,MEDIUM
1,0,0,0,1,0,3,13,16.02683237684912,13.62,LOW
1,0,0,0,1,0,1,357,15.887242617996048,9.94,LOW
1,1,0,0,0,0,0,1380,14.897320981547546,29.18,LOW
1,0,1,0,0,2,2,1383,14.591545685758339,15.7,LOW
0,0,0,0,0,5,0,454,15.361547501950543,32.52,MEDIUM
1,0,0,0,1,5,0,1492,16.142924241894498,0.46,LOW
1,0,0,0,2,1,2,317,15.167396553265057,10.07,LOW
1,0,0,0,1,0,0,77,15.6369190806694,2.52,LOW
1,0,0,0,0,1,2,460,13.925622910068071,0.0,LOW
1,0,0,0,0,1,2,797,15.592285087467896,5.28,LOW
1,0,0,0,0,3,1,9,17.12594531128751,17.91,LOW
1,0,1,0,1,0,2,257,16.77569835856709,27.58,LOW
1,0,0,0,0,0,1,1187,15.904385869270142,5.23,LOW
1,0,0,0,0,4,1,933,16.268017997515578,0.0,LOW
1,0,0,0,0,0,0,908,15.088913564846427,0.0,LOW
1,0,0,0,1,2,1,1485,17.78688255162054,7.16,LOW
1,1,0,0,1,2,3,342,18.274538757165296,35.01,MEDIUM
1,1,0,0,1,1,2,1346,16.181305993776572,30.38,MEDIUM
1,0,0,0,1,0,1,533,18.849754419667644,14.69,LOW
1,0,0,1,0,1,0,1388,15.251799391311124,19.81,LOW
1,0,0,0,1,0,1,1175,14.623812835924152,7.63,LOW
1,0,0,0,0,4,0,320,15.21941387049647,8.09,LOW
1,0,1,0,1,0,0,314,15.75856070841751,18.43,LOW
1,0,0,0,2,3,0,814,18.54327320632326,22.32,LOW
1,0,0,0,1,2,0,754,15.690724959853444,0.0,LOW
1,0,1,0,2,2,1,352,15.054378605915577,21.3,LOW
1,0,1,0,0,1,2,390,15.011695254464819,13.63,LOW
1,0,0,0,1,2,0,1350,17.25402432324761,12.92,LOW
1,0,0,0,1,2,3,1131,17.09703192313994,13.42,LOW
1,0,0,0,0,0,3,286,15.465973995011028,1.62,LOW
1,0,0,0,1,1,1,1088,13.936637472315129,1.08,LOW
0,0,0,0,0,4,2,231,14.758547100819786,35.33,MEDIUM
0,0,0,0,1,2,0,667,17.893368221249496,28.91,LOW
1,0,0,0,0,1,1,18,16.757688673004417,16.94,LOW
1,0,1,0,0,2,1,974,16.072007513114137,17.47,LOW
0,0,1,0,0,1,1,273,18.055716490466164,41.91,MEDIUM
1,0,0,0,0,4,1,354,18.154158900092668,6.0,LOW
1,1,0,0,0,3,1,284,15.960466437842571,26.39,LOW
1,0,1,0,0,1,2,275,15.980671063415167,17.77,LOW
1,0,1,0,0,4,0,116,15.359748649676716,11.64,LOW
1,0,0,0,0,1,1,832,15.686936383766351,4.78,LOW
0,1,0,0,1,1,0,1302,14.365042526619867,56.17,MEDIUM
1,0,0,0,0,0,1,452,14.360574986197534,6.62,LOW
1,1,0,0,0,1,2,1170,14.105075244203508,33.09,MEDIUM
1,0,0,1,2,1,0,815,17.192770707611388,25.26,LOW
1,0,0,0,0,1,0,381,14.28245755479618,8.79,LOW
1,0,0,0,0,2,0,92,18.144958528576772,6.11,LOW
0,0,1,0,3,0,2,1175,15.196584319680655,57.2,MEDIUM
1,0,0,0,0,4,0,34,17.91108489746079,10.49,LOW
1,0,0,0,0,3,1,633,15.598440222847978,3.05,LOW
1,0,0,1,0,2,1,51,14.277194551987474,23.49,LOW
1,0,0,0,0,4,0,1164,17.412156787872018,6.98,LOW
1,0,0,0,1,2,2,1485,17.542052190396547,1.82,LOW
1,0,0,0,1,2,1,484,15.003343899706287,0.45,LOW
1,0,0,0,0,1,0,470,15.635182506742805,0.0,LOW
1,0,0,0,2,1,0,847,15.003624469782922,6.85,LOW
1,0,1,0,1,2,2,753,15.86742063609651,20.86,LOW
1,0,0,0,0,3,1,572,16.11861206218494,0.0,LOW
1,0,1,1,0,3,0,549,15.613478634973028,36.33,MEDIUM
1,0,1,0,0,5,0,281,13.999219465070063,18.02,LOW
1,0,1,0,1,4,0,376,15.361032753400975,27.24,LOW
1,0,0,0,2,1,3,879,16.773870639909447,22.29,LOW
1,0,0,1,0,4,1,1102,15.770210503144492,25.33,LOW
0,0,0,1,0,1,0,1126,15.639815309682124,37.87,MEDIUM
1,0,0,0,2,1,0,775,14.976145800466158,10.76,LOW
1,1,0,0,0,3,2,1130,15.328943493882623,31.16,MEDIUM
1,1,1,0,0,1,0,888,17.549842917240156,40.24,MEDIUM
1,0,0,1,1,0,1,534,14.746245017517682,18.87,LOW
0,0,0,0,1,3,0,530,16.792905406353754,25.37,LOW
1,0,0,0,0,2,1,778,16.051760742993878,2.04,LOW
1,0,0,0,1,0,2,461,16.269291729433544,10.47,LOW
1,0,0,0,1,1,0,1146,15.19440809088392,6.72,LOW
1,0,0,0,3,1,1,277,15.613044897347292,21.69,LOW
1,0,0,0,1,2,0,81,15.993707801810848,8.31,LOW
0,0,0,0,0,4,0,737,15.427266338929885,27.39,LOW
1,0,0,0,0,3,0,107,16.364575314440206,0.63,LOW
1,1,0,0,1,1,1,287,16.50318291773538,26.1,LOW
1,0,0,0,0,3,0,564,18.389977285981914,0.0,LOW
1,0,1,0,1,0,1,6,16.306009032298608,23.41,LOW
1,0,0,0,1,1,1,335,13.896533078929279,0.0,LOW
1,0,0,0,0,3,1,817,17.27932098892255,0.0,LOW
1,0,0,0,1,1,1,562,15.775742294200189,13.86,LOW
1,0,0,0,2,2,1,1345,18.21311789923054,11.54,LOW
0,0,0,0,0,1,2,140,17.61801689775584,23.97,LOW
1,0,0,0,0,1,0,1080,15.444205877917277,2.81,LOW
1,0,1,0,0,0,0,888,16.79409306225829,4.69,LOW
1,0,0,0,0,1,2,967,15.346649337477324,5.17,LOW
1,0,0,0,1,0,0,1008,16.002959909056163,9.96,LOW
1,0,0,0,1,1,1,78,16.74358329578935,4.93,LOW
1,0,0,0,1,2,0,1188,17.22430022665116,0.0,LOW
1,0,0,1,0,1,0,497,16.984726411774865,17.11,LOW
1,0,0,0,1,3,1,976,16.08248859510411,13.67,LOW
1,0,0,1,1,3,1,441,18.73176629008934,26.9,LOW
0,0,0,0,1,5,0,594,15.598477552820201,21.91,LOW
1,0,0,0,1,3,1,1050,14.232079305130773,19.31,LOW
1,0,0,0,0,3,0,1403,14.443830775269742,0.0,LOW
1,0,0,0,0,3,0,1317,17.621408503134578,0.96,LOW
1,0,0,0,0,3,2,1090,15.915681788168515,0.0,LOW
1,0,0,0,0,1,0,808,16.174963247859502,0.0,LOW
1,0,0,0,1,3,1,792,15.40322373208323,4.69,LOW
1,0,0,0,1,2,1,1449,15.50202727277089,9.59,LOW
0,0,1,0,0,2,0,310,15.134194552955776,45.21,MEDIUM
1,0,0,1,1,2,1,1432,16.5182658946631,22.81,LOW
1,1,0,1,0,2,0,974,15.89288209070919,40.69,MEDIUM
1,0,0,0,0,0,1,924,16.478505915583742,3.96,LOW
0,0,1,0,2,0,1,888,16.37338222384923,47.82,MEDIUM
1,1,0,0,0,3,0,1219,15.531533393003814,29.39,LOW
1,0,0,0,0,1,1,1025,14.395396312166934,3.65,LOW
1,0,0,0,0,1,0,142,14.299620444400706,0.16,LOW
0,0,1,0,1,1,2,1172,19.329316750864574,44.58,MEDIUM
0,0,0,0,1,3,2,1093,17.625990788865643,29.8,LOW
1,0,1,1,0,4,1,1373,17.474200823580336,43.33,MEDIUM
0,0,0,0,1,2,0,1405,15.257932512314415,38.59,MEDIUM
0,0,1,0,1,0,2,1424,16.010460707139433,44.26,MEDIUM
1,0,0,1,1,1,1,64,15.103100928378511,24.04,LOW
1,1,0,0,0,1,0,945,14.55670969531752,27.99,LOW
1,1,0,0,1,1,2,1402,15.352349127586729,29.55,LOW
1,0,0,1,0,2,2,1449,17.458803459772536,26.93,LOW
1,0,0,1,2,3,0,824,16.924819903616367,29.69,LOW
1,0,0,0,2,0,0,1368,14.932947198215777,4.49,LOW
1,1,0,0,1,0,0,1321,15.653702344826778,33.94,MEDIUM
1,0,0,0,0,3,2,3,16.82403548913024,12.69,LOW
0,1,0,0,2,2,1,1328,15.37193146529393,52.75,MEDIUM
1,0,1,0,0,1,0,957,16.087544869316,17.38,LOW
1,0,0,0,0,3,1,861,16.442032191771293,4.93,LOW
1,0,0,0,1,3,1,267,16.430023607028545,12.02,LOW
1,0,0,0,0,2,0,1378,16.279559970459314,5.79,LOW
1,0,1,0,1,1,1,443,15.280933108839239,19.8,LOW
1,0,0,0,1,2,0,627,15.393927953729303,2.37,LOW
0,1,0,0,2,1,1,446,14.752985163327311,57.05,MEDIUM
1,0,1,0,0,0,3,1455,14.2825297471475,21.14,LOW
1,0,1,0,1,0,1,725,15.873776384140749,22.14,LOW
1,0,0,0,0,0,0,171,16.897885576045912,1.56,LOW
0,0,0,0,0,3,2,16,14.481689366430658,34.34,MEDIUM
1,1,0,0,1,1,1,1471,16.300270568536682,36.65,MEDIUM
1,0,0,0,0,2,0,353,16.863094334721733,0.0,LOW
1,0,0,0,0,3,0,1156,13.97959285429652,15.08,LOW
1,0,0,0,0,0,1,43,15.70236078985016,5.44,LOW
1,1,0,0,2,1,0,1346,17.810831220504213,27.49,LOW
1,0,0,0,0,4,2,976,16.607135119533112,6.89,LOW
1,0,0,1,0,2,2,337,13.942497136031482,26.97,LOW
1,0,0,0,0,0,0,1334,16.72417340865277,0.0,LOW
1,0,1,0,1,2,1,447,15.177489526348838,13.36,LOW
1,1,0,0,0,1,2,1497,16.760437623102035,24.24,LOW
1,0,0,0,0,1,1,899,15.240910056739148,5.03,LOW
1,1,0,0,0,0,1,673,15.94166431114684,18.31,LOW
1,0,0,0,2,2,1,87,15.408702954580756,2.11,LOW
1,0,0,0,0,0,2,390,16.003473495012358,5.75,LOW
1,0,0,0,1,1,0,87,15.375991808697886,2.92,LOW
1,0,1,0,2,0,2,1280,15.754107934290074,20.84,LOW
0,1,1,0,1,1,1,150,14.706834490858254,65.95,HIGH
1,1,1,0,1,3,0,169,16.53972555495539,38.67,MEDIUM
1,0,1,0,0,3,1,186,16.192813729508316,21.03,LOW
1,0,1,0,0,2,0,1462,14.221814608485433,12.11,LOW
1,0,0,0,0,0,1,1456,17.09220832622212,0.0,LOW
0,0,1,0,0,3,2,1072,15.806083244380053,44.02,MEDIUM
1,0,0,0,0,2,0,110,16.1779386358595,0.15,LOW
0,0,0,0,1,3,0,756,16.841017839232105,24.12,LOW
1,0,0,0,0,2,2,1423,16.361066466595982,0.0,LOW
1,0,0,0,2,0,0,145,17.28172347430699,8.57,LOW
1,0,0,1,0,1,0,1191,15.677374925574048,19.67,LOW
1,0,0,0,1,2,0,27,17.137872324849745,9.54,LOW
1,1,0,0,0,1,1,1206,16.135217079588053,22.77,LOW
1,0,0,0,1,5,1,817,16.55839676695736,8.58,LOW
0,0,1,0,0,0,0,1332,16.443992090077696,39.53,MEDIUM
1,0,0,0,1,1,1,621,17.36480335784048,6.06,LOW
0,0,0,0,1,1,1,1178,16.79355361091522,36.27,MEDIUM
1,1,0,0,0,4,1,1264,15.512759971659168,34.02,MEDIUM
1,0,0,0,0,0,2,487,15.294606251600168,2.41,LOW
1,0,0,0,0,2,1,964,15.945270437645684,6.79,LOW
1,1,1,0,0,2,0,691,15.163888414812828,42.47,MEDIUM
1,1,0,0,1,1,1,648,14.842588578541019,31.72,MEDIUM
1,0,0,0,1,5,3,1200,13.659142283772153,18.2,LOW
1,0,0,0,0,3,1,339,14.29581096638842,0.0,LOW
1,0,0,0,1,2,0,179,18.183946997222677,4.94,LOW
1,0,1,0,1,1,0,721,15.277849725407245,25.06,LOW
1,0,0,1,1,2,3,1233,18.09380632980326,29.38,LOW
0,0,1,0,1,2,0,244,16.44347006127114,39.94,MEDIUM
1,1,0,0,1,2,1,510,15.945266176200285,23.38,LOW
1,0,0,0,3,1,1,1001,14.349334371496642,0.45,LOW
1,0,0,0,0,5,0,715,16.005135785133653,14.47,LOW
1,0,1,0,1,2,3,909,18.081402143665052,25.67,LOW
1,0,1,0,0,0,0,792,17.713400418418413,11.79,LOW
0,0,0,0,0,0,2,1215,16.301662517967337,27.0,LOW
1,0,0,0,0,3,1,1313,14.736464797504482,0.0,LOW
1,1,0,0,0,3,0,674,14.947118120225932,26.43,LOW
1,0,0,0,0,1,2,647,15.062148972268293,0.0,LOW
1,0,1,0,0,2,0,418,17.40597042009897,8.97,LOW
1,0,0,0,0,4,2,666,17.794892479719636,0.0,LOW
1,0,0,0,1,3,0,1255,16.215482118464344,0.0,LOW
1,1,0,0,0,0,3,752,15.666611520924532,35.67,MEDIUM
1,0,0,0,0,4,3,1037,17.703581546327083,2.29,LOW
1,0,1,0,0,1,1,628,14.92356910504855,19.81,LOW
1,0,0,0,2,0,1,1060,16.057005660360403,13.11,LOW
1,0,0,0,0,1,0,1069,16.509262599500744,0.83,LOW
1,0,0,0,0,1,0,792,15.050919332105961,0.0,LOW
0,0,0,1,0,2,1,1402,15.300494356469562,44.39,MEDIUM
1,0,0,0,0,1,1,1314,15.214888662893637,0.06,LOW
1,0,1,0,0,0,0,237,17.558399541586894,21.06,LOW
1,0,0,0,0,0,0,341,18.105804004762796,9.73,LOW
1,0,0,0,1,1,2,1433,16.12627178326022,14.55,LOW
1,0,0,0,0,2,1,602,15.704959554252934,0.0,LOW
1,1,0,0,0,1,3,465,15.340174817507375,28.85,LOW
1,0,0,0,0,2,1,1195,16.001920944795362,2.98,LOW
1,0,0,0,0,3,0,903,15.394756073419531,4.62,LOW
1,0,0,0,0,1,0,199,15.893266733409257,0.0,LOW
1,0,0,1,0,0,0,137,16.454556105304317,9.48,LOW
1,0,0,0,0,0,0,1212,15.554155762930595,6.78,LOW
1,0,0,0,2,3,1,1148,15.791453131124493,7.47,LOW
1,1,0,1,0,3,2,529,15.796000066420465,41.92,MEDIUM
0,0,0,0,1,4,1,1294,15.650680221801247,24.28,LOW
0,0,0,0,0,1,0,188,15.514407335282169,24.99,LOW
1,0,0,0,0,1,0,1304,16.838416263230485,0.0,LOW
1,0,1,1,0,5,1,118,14.052190368125913,39.77,MEDIUM
1,0,0,0,1,1,3,954,17.73170784490139,3.44,LOW
1,0,0,0,0,2,2,1265,16.149082409523295,0.0,LOW
1,0,0,1,0,0,2,929,16.671019333585168,28.87,LOW
1,0,0,0,0,1,0,1168,16.797585561463762,2.81,LOW
1,1,0,1,0,1,0,516,15.221134923966371,43.45,MEDIUM
1,0,0,0,1,3,1,432,14.994205588202835,4.33,LOW
1,1,0,1,0,3,1,399,14.86450378688079,55.74,MEDIUM
1,0,0,0,0,5,3,174,15.728225167188553,11.22,LOW
1,0,1,0,1,5,0,416,16.769125160706132,27.8,LOW
1,0,0,0,0,4,1,371,15.357861772257094,1.42,LOW
0,0,1,0,0,3,2,1135,16.668724804196135,42.48,MEDIUM
1,0,1,0,3,2,1,319,13.395286659252681,29.86,LOW
0,0,1,1,0,2,1,249,15.575876077827225,55.67,MEDIUM
0,0,0,0,0,3,1,1100,17.28385110437272,25.43,LOW
0,0,0,0,0,0,1,807,15.811931582063771,20.68,LOW
1,0,0,0,1,0,1,323,15.087942000217216,6.88,LOW
1,0,0,0,0,1,0,1059,15.277472455648644,0.0,LOW
1,0,1,0,1,2,1,324,12.669175180624965,24.08,LOW
1,0,0,0,0,4,0,1179,14.887017832546887,4.57,LOW
1,1,0,0,0,0,0,48,17.16296550976384,24.87,LOW
1,0,0,0,2,0,0,885,15.359136956414146,9.0,LOW
1,0,0,0,4,3,3,895,15.489001201798652,18.11,LOW
0,0,0,0,1,0,2,559,13.435006594259951,25.04,LOW
1,0,0,0,1,3,0,1034,14.206078427576182,8.37,LOW
1,0,1,0,2,1,2,569,17.30905409645973,28.23,LOW
1,0,0,0,1,1,1,980,16.67902348872772,2.93,LOW
1,0,0,0,0,2,0,335,14.572817065416626,0.0,LOW
1,0,0,0,0,1,1,853,15.306370369269457,1.27,LOW
1,0,1,0,1,1,2,1135,15.967910422701339,18.99,LOW
1,0,0,0,0,2,2,1450,14.684259494627568,12.35,LOW
1,0,0,0,1,3,1,540,13.795441728135039,8.68,LOW
1,0,0,0,0,1,0,709,15.824868573816621,0.82,LOW
1,1,1,0,2,2,0,714,16.629869418390566,44.05,MEDIUM
1,0,0,0,2,3,0,1291,16.65104305170295,12.72,LOW
1,0,0,0,0,3,0,1444,16.96276112409636,0.0,LOW
1,1,1,0,0,5,1,969,14.291087012042194,42.54,MEDIUM
1,0,0,0,1,2,1,1234,16.063692100809632,10.3,LOW
0,0,0,0,1,3,1,126,15.704703499347966,31.27,MEDIUM
0,0,0,0,0,1,2,1139,15.904057245953089,12.95,LOW
1,0,0,0,2,2,1,1215,15.767040203002448,8.81,LOW
1,1,0,0,0,1,2,1073,15.273507001331733,30.28,MEDIUM
1,0,0,1,0,2,0,877,12.680430500362835,18.24,LOW
0,0,0,0,0,1,0,1350,17.27801192262774,23.79,LOW
1,0,0,0,0,3,2,980,16.3629891820226,0.0,LOW
1,0,0,0,0,1,0,1270,14.367281233709841,0.0,LOW
1,0,0,0,1,2,0,270,16.52044481829203,0.0,LOW
1,0,0,0,0,2,1,998,15.507964712298383,4.43,LOW
1,0,1,1,0,1,0,656,15.539130451940498,17.35,LOW
1,0,0,0,1,0,1,1303,15.154743938362063,0.44,LOW
1,0,0,0,0,3,1,1321,16.590623519917493,0.0,LOW
1,0,0,0,0,2,1,1266,15.12019407133218,1.7,LOW
0,0,0,0,2,2,0,323,14.79348184530034,40.52,MEDIUM
1,0,0,0,0,0,0,738,17.244919291666594,0.0,LOW
1,0,0,0,0,1,3,0,15.803230449256603,12.04,LOW
1,0,0,0,2,0,0,1470,15.837764971008571,11.02,LOW
1,0,0,0,0,2,0,386,16.76171053230433,1.59,LOW
1,0,0,0,2,2,2,937,15.265654629069205,10.0,LOW
0,0,0,0,0,2,1,731,15.485031510088426,29.99,LOW
1,0,0,0,0,2,1,1357,16.33628679669512,5.41,LOW
0,0,1,0,2,5,0,1232,14.304484637289857,48.9,MEDIUM
1,0,0,0,1,3,2,1166,16.243208951445038,7.8,LOW
1,0,0,0,0,4,0,965,15.168717394900495,1.17,LOW
1,0,0,0,0,0,1,179,16.941019851700663,6.24,LOW
1,0,0,0,2,2,1,1379,16.6013296595349,7.89,LOW
0,0,0,0,0,2,0,94,16.456003192672533,30.09,MEDIUM
1,0,0,0,2,1,0,683,14.232345486589987,1.98,LOW
1,0,0,0,0,4,0,569,15.886265065308798,10.4,LOW
1,0,0,0,2,0,1,586,14.705006783544295,10.6,LOW
1,0,0,0,3,0,1,1466,15.959449706725271,6.46,LOW
1,0,0,1,0,3,1,347,13.453192355421287,24.86,LOW
1,0,1,1,0,2,0,870,14.305084504787233,31.44,MEDIUM
1,0,0,0,2,2,2,327,17.307936969724206,11.28,LOW
1,0,1,0,0,1,0,1368,16.405958493607216,13.03,LOW
1,0,0,0,3,4,1,1104,15.610802567772366,13.76,LOW
1,1,1,1,2,2,0,622,15.000382345045155,72.29,HIGH
1,0,0,1,0,3,0,120,14.807320690654198,23.43,LOW
1,0,0,0,1,2,0,229,16.220171330597378,0.0,LOW
1,0,0,0,1,1,1,364,15.62200445944842,0.02,LOW
0,1,0,0,1,2,1,609,17.701311901649003,55.85,MEDIUM
1,0,1,0,1,4,0,1329,15.796759907988616,22.89,LOW
1,1,0,0,1,0,1,179,16.064592541468986,27.24,LOW
1,1,0,0,2,2,0,865,14.47264618513909,42.33,MEDIUM
1,0,0,0,0,2,1,521,15.603230852305146,7.18,LOW
1,0,1,0,1,4,0,69,16.194690545574783,17.87,LOW
1,0,0,0,0,1,0,929,15.589935717665494,0.0,LOW
1,0,0,0,0,2,1,1057,15.465808613068344,1.78,LOW
1,0,1,0,2,0,2,1440,16.359600588176857,22.72,LOW
0,0,1,0,1,1,0,760,17.66630560971709,47.62,MEDIUM
1,0,0,1,0,2,1,488,16.15946630733861,26.59,LOW
1,0,0,0,0,2,2,1282,17.258604911820452,4.63,LOW
1,0,1,0,0,2,1,371,16.68376261527066,21.29,LOW
1,0,0,0,0,2,1,1024,17.192788712134636,7.23,LOW
1,0,0,0,1,0,1,1416,15.329308084318699,5.12,LOW
1,0,0,0,1,1,1,6,15.772379755517157,15.05,LOW
0,0,0,0,0,1,1,1388,15.77694907215887,27.53,LOW
1,0,0,0,0,1,1,308,16.600904960220372,4.75,LOW
1,1,0,0,1,4,0,722,16.871654104433052,28.18,LOW
1,0,0,0,0,2,1,387,16.13756181022308,0.0,LOW
1,1,0,0,0,2,0,216,16.96437723511345,25.91,LOW
0,0,0,0,0,1,1,1054,15.38033537532049,20.78,LOW
1,0,0,0,1,0,0,723,16.97391530818904,0.0,LOW
1,0,0,0,1,3,0,764,17.117390386404455,9.06,LOW
1,0,0,0,0,1,2,725,16.74524598051713,5.5,LOW
0,1,0,0,1,1,0,1121,16.147586761829334,45.28,MEDIUM
1,0,0,0,0,0,1,1450,16.784655665645463,0.23,LOW
0,0,0,0,1,1,2,769,15.016595088237661,28.3,LOW
1,0,1,1,0,1,1,233,16.21819849079623,36.5,MEDIUM
0,0,0,1,0,4,1,491,16.330561524507633,39.58,MEDIUM
1,0,1,1,0,0,4,744,14.537532770533366,32.24,MEDIUM
1,0,0,0,1,2,1,155,16.522042678233472,8.99,LOW
1,1,0,0,3,1,0,343,14.626299401750003,28.71,LOW
1,0,1,0,2,1,0,304,15.529289872299627,21.02,LOW
1,0,1,0,0,3,0,1460,16.043737055203927,15.35,LOW
1,0,0,0,1,0,0,601,15.196189976903913,2.69,LOW
1,0,0,0,1,2,1,1319,16.09080944248235,7.61,LOW
1,0,0,0,1,0,2,827,16.073212689479842,14.59,LOW
1,0,0,0,1,2,1,759,15.097800196705276,0.0,LOW
1,0,0,0,0,4,0,1408,16.624771904706765,7.51,LOW
1,1,1,0,2,3,0,1038,15.159427846363146,36.6,MEDIUM
0,0,0,0,1,1,0,359,18.516771812208162,33.52,MEDIUM
1,0,0,0,1,5,0,422,15.879573294336335,0.0,LOW
1,0,0,0,1,3,1,999,14.711576440510964,19.67,LOW
0,0,0,0,0,3,0,3,14.917224057164852,29.83,LOW
0,0,0,0,1,1,1,228,17.26233851116813,34.47,MEDIUM
1,1,0,0,0,0,3,111,15.549933185309701,35.99,MEDIUM
1,0,0,0,1,2,1,1071,14.499859811387035,4.03,LOW
1,0,0,0,0,0,2,662,16.939084021840543,1.1,LOW
0,0,0,0,1,1,2,17,15.542868723444109,32.33,MEDIUM
1,0,0,0,0,1,1,1113,16.718761462231285,6.3,LOW
1,0,1,0,1,1,1,984,17.02912262822174,18.17,LOW
1,0,0,1,0,1,0,1078,16.301909892689398,15.01,LOW
0,0,0,0,1,2,0,244,18.63549813525387,29.82,LOW
1,0,0,0,2,1,3,1313,14.102783257773453,7.2,LOW
1,0,0,0,1,2,0,270,15.10025491720101,3.11,LOW
1,0,0,0,1,4,2,856,15.718454994935646,9.81,LOW
1,0,0,0,1,3,0,838,18.487290881468933,2.22,LOW
1,1,0,0,1,0,0,328,17.977802717112432,26.71,LOW
0,0,1,0,0,1,2,563,17.417559954133306,48.7,MEDIUM
1,0,0,0,0,2,3,78,15.126463665179498,4.87,LOW
